Twinned,Orientation,Strain_level,Grain_size,Triple_points,Near_edge,T_SF1,T_SF2,T_SF3,T_SF4,T_SF5,T_SF6,S_SF1,S_SF2,S_SF3,Neighbor_grain_n,Max_B-b_m,Min_B-b_m,Mean_B-b_m,Max_B-t_m,Min_B-t_m,Mean_B-t_m,Max_Gbmisang,Min_Gbmisang,Mean_Gbmisang,Max_deltaGs,Min_deltaGs,Mean_deltaGs,Max_deltaBSF,Min_deltaBSF,Mean_deltaBSF
0,45,0.06,2.15 ,2,0,0.3103 ,0.3020 ,0.2155 ,0.1764 ,0.1658 ,0.1184 ,0.4810,0.2963,0.1847,2,0.9017,0.5707,0.7362,0.5502,0.0149,0.3275,25.40,15.46,20.43,15.15,5.33,10.24,-0.0352,-0.0693,-0.0523
0,45,0.06,4.41 ,5,0,0.4767 ,0.4758 ,0.4655 ,0.4641 ,0.4610 ,0.4380 ,0.1888,0.1787,0.0101,5,0.9204,0.2560,0.5250,0.8719,0.0022,0.3446,58.41,17.08,30.68,3.70,0.34,2.62,0.2870,0.0851,0.2026
0,45,0.06,8.11 ,9,0,0.0605 ,0.0495 ,-0.1266 ,-0.1607 ,-0.2867 ,-0.3317 ,0.3530,0.2498,0.1031,9,0.8163,0.2794,0.4910,0.9410,0.0008,0.2793,62.58,26.23,47.61,9.28,-3.70,-0.03,0.1229,-0.3453,-0.0161
1,45,0.06,4.23 ,3,0,0.4851 ,0.4843 ,0.4787 ,0.4757 ,0.4712 ,0.4561 ,0.1596,0.1427,0.0168,3,0.7281,0.4224,0.5557,0.8441,0.0219,0.3478,38.30,30.78,33.50,18.56,-1.40,8.54,0.3210,0.0702,0.2323
0,45,0.06,8.22 ,5,0,0.0897 ,0.0712 ,-0.0194 ,-0.0556 ,-0.2148 ,-0.2694 ,0.4054,0.3264,0.0790,5,0.9218,0.6978,0.8363,0.7489,0.0007,0.3164,46.15,21.53,31.85,41.55,-2.51,18.78,0.0837,-0.0268,0.0393
0,45,0.06,13.50 ,4,0,0.4053 ,0.3933 ,0.3735 ,0.3419 ,0.3369 ,0.2934 ,0.3806,0.2704,0.1102,4,0.8572,0.1509,0.4459,0.8568,0.0028,0.3062,73.59,25.53,46.57,21.58,4.01,11.00,0.0772,-0.3747,-0.0403
1,45,0.06,9.71 ,6,0,0.3564 ,0.3348 ,0.3314 ,0.2962 ,0.2612 ,0.2044 ,0.4111,0.3499,0.0612,6,0.9636,0.6055,0.8086,0.8730,0.0071,0.3388,39.52,12.42,23.82,26.67,-5.86,6.33,0.0878,-0.1001,-0.0168
0,45,0.06,2.84 ,4,0,0.3162 ,0.3106 ,0.2173 ,0.1916 ,0.1663 ,0.1350 ,0.4806,0.2778,0.2028,4,0.9534,0.0468,0.4596,0.6857,0.0081,0.2868,50.45,17.51,35.58,19.96,1.40,8.41,-0.0152,-0.3210,-0.1536
0,45,0.06,6.24 ,3,0,0.2350 ,0.2230 ,0.1125 ,0.0636 ,0.0361 ,-0.0249 ,0.4908,0.3257,0.1651,3,0.9684,0.2828,0.7118,0.7786,0.0019,0.3213,34.10,14.26,23.05,16.56,6.43,12.11,-0.0254,-0.2610,-0.1327
0,45,0.06,17.50 ,7,1,0.1482 ,0.1450 ,-0.0743 ,-0.1053 ,-0.1238 ,-0.1580 ,0.4558,0.2491,0.2067,8,0.9462,0.0198,0.6801,0.8501,0.0030,0.3082,90.68,18.69,38.88,6.45,-13.96,-3.83,0.0278,-0.4499,-0.0806
1,45,0.06,8.05 ,6,0,0.2710 ,0.2449 ,0.2408 ,0.2036 ,0.1202 ,0.0569 ,0.4491,0.3995,0.0495,6,0.8939,0.3676,0.7457,0.7943,0.0101,0.3294,33.46,19.01,27.70,5.93,-3.64,0.35,0.0268,-0.2603,-0.0905
1,45,0.06,5.81 ,5,0,0.4008 ,0.3936 ,0.3576 ,0.3373 ,0.3168 ,0.2894 ,0.3961,0.2463,0.1498,5,0.9646,0.5099,0.7967,0.8866,0.0037,0.3217,54.94,11.06,28.89,11.59,-2.33,2.52,0.0797,-0.0431,0.0145
0,45,0.06,4.26 ,2,0,0.1052 ,0.1047 ,-0.1643 ,-0.1710 ,-0.2096 ,-0.2169 ,0.4076,0.2074,0.2002,2,0.4680,0.0070,0.2375,0.8467,0.0029,0.2954,88.35,50.39,69.37,21.07,0.98,11.02,0.0618,-0.1230,-0.0306
0,45,0.06,11.70 ,6,0,0.1950 ,0.1680 ,0.1577 ,0.1206 ,-0.0068 ,-0.0709 ,0.4524,0.4071,0.0453,6,0.9668,0.1721,0.6103,0.7823,0.0025,0.3117,75.20,12.74,29.41,15.55,-5.99,2.68,0.0186,-0.4008,-0.0684
1,45,0.06,22.80 ,15,0,0.2498 ,0.2267 ,0.1968 ,0.1563 ,0.0744 ,0.0108 ,0.4654,0.3876,0.0778,15,0.9684,0.1022,0.7107,0.8765,0.0060,0.3228,40.57,11.63,26.91,-3.23,-19.96,-13.85,0.0254,-0.3058,-0.0864
0,45,0.06,7.48 ,8,0,0.2133 ,0.1931 ,0.1841 ,0.1578 ,0.0335 ,-0.0310 ,0.4458,0.4189,0.0269,7,0.9519,0.6924,0.8472,0.6924,0.0053,0.3098,43.79,16.93,29.47,9.82,-5.33,2.10,0.0412,-0.1104,-0.0078
0,45,0.06,7.55 ,6,0,0.3182 ,0.3091 ,0.2306 ,0.1895 ,0.1819 ,0.1317 ,0.4758,0.2990,0.1768,6,0.9646,0.6078,0.7445,0.8213,0.0062,0.3201,51.12,11.06,31.36,6.43,-3.14,0.03,-0.0268,-0.2870,-0.1166
0,45,0.06,3.47 ,4,0,0.3189 ,0.3125 ,0.2903 ,0.2809 ,0.2120 ,0.1518 ,0.4097,0.3965,0.0133,4,0.9636,0.0365,0.6569,0.6948,0.0025,0.3224,42.35,15.20,29.32,13.92,1.63,4.99,0.0236,-0.0280,0.0013
0,45,0.06,7.56 ,3,0,0.2551 ,0.2357 ,0.2265 ,0.2004 ,0.1011 ,0.0372 ,0.4432,0.4130,0.0302,3,0.8534,0.0039,0.5674,0.7878,0.0080,0.2807,89.70,28.02,48.88,16.40,9.95,13.17,0.0125,-0.4374,-0.1663
1,45,0.06,9.99 ,4,0,0.4166 ,0.4160 ,0.3759 ,0.3744 ,0.3346 ,0.3325 ,0.3717,0.1898,0.1819,4,0.8572,0.3237,0.6333,0.9258,0.0020,0.3529,56.57,25.60,39.43,12.81,-5.42,1.07,0.1219,-0.1705,0.0193
0,45,0.06,4.56 ,6,0,0.0010 ,-0.0050 ,-0.2226 ,-0.2421 ,-0.4011 ,-0.4267 ,0.2012,0.1409,0.0602,6,0.7871,0.1486,0.5190,0.9289,0.0003,0.3260,73.32,32.75,46.67,18.23,0.30,5.70,0.2924,0.1705,0.2427
1,45,0.06,5.30 ,5,0,0.3210 ,0.3025 ,0.2696 ,0.2281 ,0.1936 ,0.1336 ,0.4531,0.3502,0.1029,5,0.8121,0.1486,0.4491,0.8605,0.0029,0.3051,73.32,29.94,50.12,17.50,-2.46,4.25,0.0275,-0.2520,-0.0877
0,45,0.06,10.38 ,5,0,0.0012 ,0.0011 ,-0.3613 ,-0.3671 ,-0.3765 ,-0.3823 ,0.0516,0.0266,0.0250,5,0.4380,0.0659,0.2288,0.7682,0.0001,0.2094,88.55,60.29,71.49,27.71,-4.67,5.68,0.4194,0.3271,0.3819
0,45,0.06,5.10 ,5,0,0.3494 ,0.3316 ,0.3077 ,0.2681 ,0.2440 ,0.1866 ,0.4328,0.3356,0.0972,5,0.9519,0.4666,0.7057,0.7326,0.0357,0.3225,38.08,16.85,27.90,8.88,-1.63,2.16,0.0430,-0.0974,-0.0227
0,45,0.06,7.81 ,2,0,0.2481 ,0.2429 ,0.1033 ,0.0708 ,0.0502 ,0.0123 ,0.4983,0.2842,0.2141,2,0.8621,0.7187,0.7904,0.7600,0.0851,0.3505,21.81,21.59,21.70,28.58,27.27,27.92,-0.0568,-0.1397,-0.0982
1,45,0.06,17.30 ,9,0,0.3229 ,0.3133 ,0.2952 ,0.2810 ,0.2161 ,0.1562 ,0.4117,0.3913,0.0204,8,0.8310,0.1361,0.6654,0.8707,0.0091,0.3371,38.69,15.46,28.99,2.27,-15.15,-9.39,0.0819,-0.0327,0.0477
0,45,0.06,3.51 ,2,0,0.1268 ,0.1139 ,-0.0341 ,-0.0765 ,-0.1636 ,-0.2189 ,0.4363,0.3047,0.1316,2,0.2537,0.0518,0.1527,0.7452,0.0063,0.3047,78.91,62.15,70.53,32.88,20.09,26.48,0.0013,-0.0776,-0.0382
0,45,0.06,4.86 ,5,0,0.1427 ,0.1345 ,-0.0502 ,-0.0965 ,-0.1313 ,-0.1858 ,0.4501,0.2804,0.1697,5,0.7871,0.3702,0.6144,0.9221,0.0031,0.3061,56.31,32.72,41.72,7.81,-0.30,3.57,0.0030,-0.2489,-0.1229
1,45,0.06,17.39 ,14,0,0.4082 ,0.3991 ,0.3724 ,0.3484 ,0.3342 ,0.3011 ,0.3818,0.2518,0.1300,14,0.9563,0.1677,0.6270,0.9418,0.0002,0.3365,66.67,16.37,34.74,6.21,-13.92,-9.07,0.1172,-0.3741,-0.0109
0,45,0.06,5.54 ,5,0,0.3723 ,0.3650 ,0.3122 ,0.2876 ,0.2673 ,0.2355 ,0.4333,0.2652,0.1681,5,0.4666,0.0365,0.2111,0.9087,0.0069,0.3198,79.61,21.55,41.89,11.86,-2.06,3.98,-0.0005,-0.2463,-0.0840
0,45,0.06,9.29 ,7,0,0.1031 ,0.0997 ,-0.1490 ,-0.1919 ,-0.1925 ,-0.2388 ,0.4039,0.2248,0.1791,7,0.9197,0.4380,0.7397,0.8903,0.0050,0.3318,60.29,23.14,34.46,13.51,-4.34,2.55,0.0896,-0.3524,-0.0217
1,45,0.06,12.67 ,9,0,0.4613 ,0.4606 ,0.4449 ,0.4431 ,0.4416 ,0.4077 ,0.2298,0.2250,0.0048,9,0.8121,0.0468,0.3598,0.9428,0.0028,0.3488,54.61,21.31,38.28,10.13,-9.83,-3.07,0.2610,-0.0702,0.1766
0,45,0.06,4.55 ,4,0,0.2566 ,0.2465 ,0.1368 ,0.0866 ,0.0771 ,0.0168 ,0.4936,0.3146,0.1789,4,0.9545,0.7214,0.7958,0.9074,0.0338,0.3417,36.15,15.39,27.50,15.02,0.86,8.18,-0.0232,-0.1609,-0.0951
0,45,0.06,7.56 ,6,0,0.2454 ,0.2351 ,0.1201 ,0.0699 ,0.0565 ,-0.0039 ,0.4936,0.3158,0.1778,6,0.8744,0.0205,0.6637,0.8646,0.0133,0.3166,49.92,27.14,35.64,3.54,-2.99,0.02,-0.0642,-0.3908,-0.1788
0,45,0.06,19.57 ,12,0,0.0756 ,0.0632 ,-0.0954 ,-0.1316 ,-0.2568 ,-0.3055 ,0.3790,0.2731,0.1059,12,0.9773,0.0829,0.7155,0.9029,0.0062,0.3255,54.61,11.35,31.87,3.23,-15.02,-10.00,0.1145,-0.2858,0.0186
1,45,0.06,8.61 ,7,0,0.3328 ,0.3273 ,0.2442 ,0.2211 ,0.1943 ,0.1658 ,0.4704,0.2717,0.1987,7,0.9762,0.5657,0.8329,0.9573,0.0034,0.3257,47.25,12.47,24.77,8.69,-4.06,0.52,0.0232,-0.1377,-0.0560
1,45,0.06,13.98 ,10,0,0.3974 ,0.3971 ,0.3725 ,0.3720 ,0.3412 ,0.2912 ,0.3355,0.3345,0.0010,10,0.9519,0.2276,0.7154,0.8935,0.0031,0.3265,60.91,16.85,32.16,-4.97,-8.88,-6.79,0.1516,-0.1484,0.0849
1,45,0.06,12.01 ,5,0,0.1548 ,0.1378 ,0.0353 ,-0.0073 ,-0.1072 ,-0.1668 ,0.4563,0.3422,0.1141,5,0.8948,0.5326,0.7244,0.9231,0.0018,0.3302,46.23,23.99,34.82,7.77,-7.30,1.04,0.0357,-0.2266,-0.0743
0,45,0.06,4.95 ,6,0,0.0619 ,0.0425 ,-0.0304 ,-0.0632 ,-0.2537 ,-0.3059 ,0.3796,0.3197,0.0599,6,0.9197,0.0170,0.6517,0.8575,0.0046,0.3085,58.76,23.14,32.70,10.56,-2.36,2.58,0.1140,-0.2768,-0.0008
0,45,0.06,5.41 ,5,0,0.0627 ,0.0593 ,-0.2142 ,-0.2497 ,-0.2714 ,-0.3103 ,0.3327,0.1890,0.1437,5,0.9773,0.5657,0.7828,0.7974,0.0001,0.3131,47.25,11.35,30.76,14.16,-0.86,3.87,0.1609,0.0463,0.1156
1,45,0.06,8.55 ,6,0,0.4410 ,0.4371 ,0.4171 ,0.4095 ,0.3829 ,0.3715 ,0.3225,0.1872,0.1353,6,0.9053,0.2145,0.5584,0.9855,0.0049,0.3494,62.47,21.31,36.77,11.23,-5.46,2.04,0.1645,-0.1909,0.0415
0,45,0.06,4.71 ,5,0,0.2211 ,0.2121 ,0.0760 ,0.0254 ,0.0136 ,-0.0460 ,0.4920,0.3067,0.1853,5,0.9620,0.7921,0.8800,0.7655,0.0114,0.3358,37.91,15.67,24.53,15.07,0.70,8.43,-0.0051,-0.1593,-0.0797
0,45,0.06,7.66 ,5,0,-0.0242 ,-0.0323 ,-0.1810 ,-0.1979 ,-0.4271 ,-0.4521 ,0.1871,0.1479,0.0391,5,0.3051,0.0444,0.2271,0.9622,0.0001,0.2980,79.61,59.75,65.42,9.74,-2.12,2.98,0.2463,0.1203,0.1740
0,45,0.06,5.59 ,5,0,0.4947 ,0.4945 ,0.4935 ,0.4887 ,0.4861 ,0.4791 ,0.1028,0.0904,0.0124,5,0.7205,0.0170,0.2270,0.9984,0.0070,0.3509,58.76,30.73,42.58,5.51,-2.99,0.41,0.3908,0.2413,0.3127
0,45,0.06,2.59 ,5,0,0.3150 ,0.2912 ,0.2900 ,0.2555 ,0.1948 ,0.1340 ,0.4310,0.3835,0.0475,5,0.8878,0.4273,0.6106,0.8808,0.0098,0.3367,39.86,20.34,31.08,9.19,1.21,3.57,-0.0056,-0.3282,-0.1047
0,45,0.06,5.23 ,2,0,0.2900 ,0.2715 ,0.2254 ,0.1821 ,0.1377 ,0.0760 ,0.4694,0.3581,0.1113,2,0.6163,0.0070,0.3116,0.8457,0.0085,0.3002,88.35,41.33,64.84,20.10,-0.98,9.56,-0.0618,-0.1848,-0.1233
0,45,0.06,11.09 ,9,0,0.3027 ,0.2853 ,0.2757 ,0.2508 ,0.1788 ,0.1172 ,0.4294,0.3961,0.0333,9,0.9053,0.2797,0.6662,0.8951,0.0010,0.3332,52.02,21.35,32.74,0.68,-8.00,-4.75,0.0642,-0.3266,-0.1139
0,45,0.06,6.28 ,5,0,0.3178 ,0.3077 ,0.2330 ,0.1878 ,0.1849 ,0.1297 ,0.4747,0.3048,0.1698,5,0.9762,0.7188,0.8622,0.7182,0.0026,0.3118,45.59,12.47,26.19,7.70,0.76,3.23,0.0124,-0.1392,-0.0431
0,45,0.06,3.09 ,5,0,0.0082 ,0.0074 ,-0.3315 ,-0.3459 ,-0.3703 ,-0.3854 ,0.1316,0.0711,0.0605,5,0.8735,0.2145,0.4826,0.9576,0.0033,0.3480,62.47,26.71,47.44,16.69,0.97,7.08,0.3554,-0.0298,0.2102
1,45,0.06,9.58 ,5,0,0.4443 ,0.4345 ,0.4280 ,0.4103 ,0.3985 ,0.3710 ,0.3074,0.2192,0.0882,5,0.7687,0.2120,0.4820,0.9318,0.0025,0.3124,65.25,25.58,43.65,14.02,-2.91,6.20,0.1407,-0.1203,0.0530
0,45,0.06,9.19 ,3,0,0.1720 ,0.1650 ,-0.0136 ,-0.0630 ,-0.0735 ,-0.1299 ,0.4727,0.2829,0.1898,3,0.8159,0.0653,0.3870,0.5803,0.0000,0.2508,86.54,31.81,55.30,25.89,12.94,17.87,-0.0311,-0.4668,-0.2291
0,45,0.06,6.49 ,4,0,0.1721 ,0.1651 ,-0.0132 ,-0.0626 ,-0.0734 ,-0.1298 ,0.4727,0.2831,0.1896,4,0.9350,0.0651,0.5475,0.6675,0.0000,0.2663,86.55,20.32,44.50,17.47,-0.82,11.63,-0.0702,-0.4668,-0.2075
1,45,0.06,15.51 ,6,0,0.2327 ,0.2078 ,0.1864 ,0.1472 ,0.0495 ,-0.0146 ,0.4613,0.3972,0.0641,6,0.8572,0.1972,0.6268,0.8388,0.0008,0.3279,70.95,24.85,35.70,22.58,-10.84,-2.93,-0.0471,-0.4098,-0.1267
0,45,0.06,4.67 ,5,0,0.0853 ,0.0787 ,-0.1480 ,-0.1872 ,-0.2383 ,-0.2841 ,0.3798,0.2341,0.1457,5,0.8801,0.4273,0.6390,0.6834,0.0082,0.2882,42.58,27.01,35.12,10.84,-2.08,3.91,0.0815,-0.0002,0.0425
0,45,0.06,3.80 ,4,0,0.4267 ,0.4157 ,0.4038 ,0.3796 ,0.3708 ,0.3355 ,0.3441,0.2458,0.0982,4,0.8191,0.0974,0.4214,0.8785,0.0011,0.3419,44.13,26.74,34.72,7.98,-1.21,3.96,0.0870,-0.2413,0.0031
0,45,0.06,23.96 ,8,0,-0.0335 ,-0.0337 ,-0.2488 ,-0.2493 ,-0.4653 ,-0.4661 ,0.0059,0.0043,0.0016,8,0.2304,0.0039,0.1039,0.7370,0.0029,0.1983,90.68,73.21,82.10,11.13,-17.47,-7.43,0.4668,0.2774,0.4090
1,45,0.06,7.97 ,2,0,0.4337 ,0.4319 ,0.4134 ,0.4097 ,0.3974 ,0.3549 ,0.2886,0.2803,0.0084,2,0.7256,0.4557,0.5907,0.8276,0.0026,0.3345,50.33,33.98,42.16,41.80,30.12,35.96,0.2006,0.0900,0.1453
0,45,0.06,8.94 ,8,0,0.0932 ,0.0767 ,-0.0362 ,-0.0735 ,-0.2161 ,-0.2698 ,0.4066,0.3139,0.0927,8,0.8177,0.4119,0.6894,0.8417,0.0128,0.2732,65.91,26.86,43.27,10.84,-5.22,-0.70,0.0854,-0.2755,-0.0120
0,45,0.06,9.01 ,6,0,0.2271 ,0.2132 ,0.1115 ,0.0639 ,0.0211 ,-0.0403 ,0.4871,0.3368,0.1502,6,0.9462,0.7932,0.8738,0.8366,0.0124,0.3357,30.40,17.44,24.20,4.97,-2.72,-0.46,-0.0124,-0.1516,-0.0745
0,45,0.06,4.07 ,5,0,-0.0029 ,-0.0047 ,-0.2976 ,-0.3080 ,-0.4117 ,-0.4240 ,0.1018,0.0630,0.0388,5,0.8735,0.0397,0.2899,0.9087,0.0006,0.2967,80.22,26.71,62.72,15.72,-0.97,4.40,0.3852,0.0298,0.2360
1,45,0.06,6.67 ,7,0,0.4088 ,0.3965 ,0.3893 ,0.3674 ,0.3518 ,0.3032 ,0.3471,0.3036,0.0435,7,0.9554,0.2755,0.7599,0.9057,0.0018,0.3240,61.59,13.09,30.09,16.89,-1.57,4.24,0.1399,-0.1601,0.0315
0,45,0.06,23.60 ,8,0,0.1340 ,0.1101 ,0.0715 ,0.0345 ,-0.1200 ,-0.1809 ,0.4375,0.3792,0.0584,7,0.9031,0.0518,0.6429,0.8555,0.0019,0.3136,78.91,20.78,39.97,12.79,-20.09,-5.27,0.0105,-0.1302,-0.0446
0,45,0.06,20.72 ,5,1,0.0497 ,0.0295 ,-0.0286 ,-0.0598 ,-0.2666 ,-0.3180 ,0.3690,0.3200,0.0490,6,0.9462,0.1584,0.6623,0.6662,0.0009,0.2712,81.16,18.69,42.46,3.23,-15.05,-7.85,0.1037,-0.3632,0.0037
0,45,0.06,7.36 ,5,0,0.4109 ,0.3978 ,0.3841 ,0.3516 ,0.3494 ,0.3039 ,0.3684,0.2714,0.0969,5,0.8995,0.0927,0.5507,0.9617,0.0156,0.3352,73.88,24.33,45.94,4.42,-4.26,-0.61,0.0610,-0.2666,-0.0909
0,45,0.06,3.72 ,3,0,-0.0674 ,-0.0750 ,-0.1516 ,-0.1625 ,-0.4636 ,-0.4821 ,0.1311,0.1165,0.0147,3,0.8234,0.4460,0.6490,0.9035,0.0008,0.2715,63.93,34.57,45.28,16.06,5.22,9.31,0.3558,0.1793,0.2702
0,45,0.06,7.04 ,5,0,0.1760 ,0.1532 ,0.1053 ,0.0654 ,-0.0551 ,-0.1178 ,0.4585,0.3817,0.0768,5,0.8657,0.4119,0.6410,0.8898,0.0072,0.2751,65.91,30.13,47.89,3.33,-0.76,1.86,0.0286,-0.1481,-0.0377
0,45,0.06,36.39 ,14,0,0.0754 ,0.0718 ,-0.1917 ,-0.2300 ,-0.2472 ,-0.2892 ,0.3587,0.2038,0.1548,12,0.9031,0.2537,0.6870,0.9169,0.0014,0.3482,62.15,20.78,35.01,-1.31,-32.88,-22.07,0.1397,-0.0477,0.0781
0,45,0.06,11.20 ,3,0,0.1331 ,0.1170 ,0.0016 ,-0.0399 ,-0.1477 ,-0.2052 ,0.4419,0.3287,0.1133,3,0.9529,0.6283,0.7704,0.7759,0.0157,0.3165,41.08,14.75,31.58,38.57,-5.90,15.60,0.0473,-0.1573,-0.0611
0,45,0.06,3.70 ,5,0,0.4487 ,0.4405 ,0.4326 ,0.4185 ,0.4032 ,0.3809 ,0.2994,0.2042,0.0952,5,0.8884,0.0397,0.5407,0.8791,0.0240,0.3392,80.22,25.70,46.17,8.08,0.37,4.28,0.1260,-0.1976,0.0446
0,45,0.06,8.09 ,7,0,0.1103 ,0.1089 ,-0.1503 ,-0.1671 ,-0.1959 ,-0.2141 ,0.4142,0.2164,0.1978,7,0.9431,0.6402,0.7881,0.8339,0.0128,0.3239,48.19,18.23,33.49,30.00,-3.42,4.92,0.0725,-0.0771,-0.0108
0,45,0.06,5.67 ,5,0,0.0827 ,0.0603 ,0.0146 ,-0.0192 ,-0.2069 ,-0.2632 ,0.4025,0.3516,0.0509,5,0.9095,0.0608,0.5933,0.9534,0.0020,0.2807,87.54,23.61,46.19,19.93,0.82,12.53,0.0702,-0.1192,-0.0087
0,45,0.06,3.41 ,2,0,-0.0122 ,-0.0209 ,-0.1794 ,-0.1989 ,-0.4101 ,-0.4383 ,0.2132,0.1649,0.0483,2,0.9288,0.2725,0.6006,0.6717,0.0130,0.2773,53.88,16.66,35.27,8.37,6.87,7.62,0.2122,0.1415,0.1768
0,45,0.06,7.45 ,6,0,0.3245 ,0.3017 ,0.2932 ,0.2560 ,0.2063 ,0.1463 ,0.4345,0.3699,0.0646,6,0.9554,0.7300,0.8805,0.8514,0.0223,0.3286,35.97,13.09,24.25,20.63,-4.32,2.86,0.0526,-0.0874,-0.0001
0,45,0.06,11.78 ,12,0,0.1204 ,0.0931 ,0.0881 ,0.0541 ,-0.1241 ,-0.1854 ,0.4254,0.3955,0.0299,11,0.8878,0.0011,0.5292,0.9280,0.0016,0.3230,70.63,20.34,38.66,3.00,-9.19,-4.69,0.0056,-0.2122,-0.0562
0,45,0.06,5.10 ,5,0,0.3448 ,0.3320 ,0.2839 ,0.2398 ,0.2345 ,0.1776 ,0.4507,0.3113,0.1394,5,0.9763,0.0119,0.7291,0.6551,0.0430,0.3222,43.72,12.39,24.71,18.46,-1.98,4.81,-0.0027,-0.1927,-0.0693
0,45,0.06,9.89 ,6,0,0.1164 ,0.1053 ,-0.0632 ,-0.1052 ,-0.1835 ,-0.2367 ,0.4253,0.2873,0.1380,6,0.9580,0.5602,0.7973,0.9228,0.0172,0.3285,45.46,13.03,28.93,18.19,-4.12,1.40,0.0618,-0.1149,-0.0031
0,45,0.06,38.09 ,15,0,0.0766 ,0.0648 ,-0.1018 ,-0.1383 ,-0.2562 ,-0.3045 ,0.3786,0.2685,0.1102,13,0.9310,0.0659,0.6303,0.9455,0.0000,0.3000,88.55,16.59,39.04,11.68,-32.86,-23.36,0.1105,-0.3271,0.0167
0,45,0.06,25.33 ,7,1,0.0441 ,0.0420 ,-0.2577 ,-0.2885 ,-0.3015 ,-0.3345 ,0.2846,0.1564,0.1282,8,0.9664,0.4680,0.7310,0.8747,0.0028,0.3239,50.39,13.82,36.19,24.44,-21.07,-10.57,0.2045,-0.2496,0.1045
1,45,0.06,8.41 ,7,0,0.3958 ,0.3880 ,0.3506 ,0.3279 ,0.3093 ,0.2790 ,0.4029,0.2535,0.1494,7,0.8884,0.0454,0.4279,0.9847,0.0020,0.3238,76.56,25.70,53.02,11.37,-4.71,-0.85,0.0841,-0.3011,-0.0834
1,45,0.06,19.78 ,12,0,0.2378 ,0.2233 ,0.1308 ,0.0835 ,0.0408 ,-0.0210 ,0.4870,0.3412,0.1458,12,0.9853,0.2845,0.6845,0.9340,0.0009,0.3150,66.19,9.06,35.24,8.30,-16.69,-10.82,0.0055,-0.3852,-0.1649
0,45,0.06,35.08 ,13,0,0.1684 ,0.1432 ,0.1397 ,0.1081 ,-0.0420 ,-0.1058 ,0.4415,0.4133,0.0282,12,0.9428,0.2304,0.6300,0.9230,0.0003,0.2998,73.21,16.44,37.00,1.31,-27.27,-18.34,0.0568,-0.4357,-0.0824
0,45,0.06,10.38 ,8,0,0.0276 ,0.0151 ,-0.1283 ,-0.1568 ,-0.3372 ,-0.3782 ,0.3104,0.2386,0.0718,8,0.9580,0.3552,0.6909,0.9296,0.0014,0.3112,55.15,13.03,36.72,17.70,-6.66,0.91,0.1766,-0.1793,0.0937
0,45,0.06,3.13 ,4,0,0.3667 ,0.3502 ,0.3282 ,0.2895 ,0.2740 ,0.2188 ,0.4196,0.3201,0.0995,4,0.9763,0.1529,0.7388,0.7454,0.0524,0.3281,36.54,12.39,22.81,24.95,1.98,9.22,0.0572,-0.1616,-0.0146
0,45,0.06,5.30 ,4,0,0.0791 ,0.0731 ,-0.1630 ,-0.2013 ,-0.2489 ,-0.2932 ,0.3687,0.2243,0.1443,4,0.9664,0.6283,0.7391,0.8557,0.0031,0.3156,39.86,13.82,31.13,44.47,5.52,18.98,0.1205,-0.3336,-0.0559
0,45,0.06,5.85 ,5,0,0.3001 ,0.2927 ,0.1959 ,0.1596 ,0.1451 ,0.1014 ,0.4867,0.2927,0.1939,5,0.9696,0.3810,0.7153,0.9281,0.0003,0.3502,46.87,13.28,30.90,32.25,-4.01,7.31,-0.0204,-0.2520,-0.1205
0,45,0.06,4.91 ,5,0,0.0589 ,0.0514 ,-0.1705 ,-0.2045 ,-0.2915 ,-0.3330 ,0.3371,0.2187,0.1184,5,0.9431,0.2950,0.6281,0.8817,0.0010,0.2981,71.72,18.23,40.86,5.36,-3.07,1.06,0.1496,-0.1439,0.0459
0,45,0.06,1.84 ,4,0,0.3337 ,0.3249 ,0.2545 ,0.2176 ,0.2067 ,0.1610 ,0.4663,0.2924,0.1739,4,0.9696,0.2588,0.6137,0.9424,0.0047,0.3458,61.77,13.28,38.36,10.98,1.98,5.01,0.0204,-0.2731,-0.1534
1,45,0.06,15.08 ,5,0,0.2422 ,0.2180 ,0.2141 ,0.1819 ,0.0774 ,0.0132 ,0.4481,0.4123,0.0358,5,0.8804,0.0031,0.6522,0.8504,0.0047,0.3167,55.69,27.64,36.79,21.31,-2.58,11.02,0.0483,-0.2006,-0.0578
0,45,0.06,5.49 ,4,0,-0.0448 ,-0.0516 ,-0.1798 ,-0.1921 ,-0.4532 ,-0.4722 ,0.1403,0.1155,0.0248,5,0.5460,0.0454,0.2428,0.9427,0.0121,0.2889,85.35,43.46,66.34,14.29,-2.99,3.57,0.3522,0.2626,0.3144
0,45,0.06,4.55 ,4,0,0.2103 ,0.1836 ,0.1718 ,0.1342 ,0.0172 ,-0.0470 ,0.4553,0.4059,0.0494,4,0.8874,0.2419,0.6113,0.8475,0.0100,0.3452,61.33,20.89,33.39,3.86,-2.05,1.32,-0.0196,-0.3150,-0.1278
0,45,0.06,10.27 ,8,0,0.0489 ,0.0333 ,-0.0794 ,-0.1113 ,-0.2910 ,-0.3385 ,0.3547,0.2821,0.0726,7,0.9288,0.3562,0.6780,0.8979,0.0015,0.3057,47.14,16.66,34.95,4.51,-6.87,-1.47,0.1097,-0.1615,-0.0042
