Twinned,Orientation,Strain_level,Grain_size,Triple_points,Near_edge,T_SF1,T_SF2,T_SF3,T_SF4,T_SF5,T_SF6,S_SF1,S_SF2,S_SF3,Neighbor_grain_n,Max_B-b_m,Min_B-b_m,Mean_B-b_m,Max_B-t_m,Min_B-t_m,Mean_B-t_m,Max_Gbmisang,Min_Gbmisang,Mean_Gbmisang,Max_deltaGs,Min_deltaGs,Mean_deltaGs,Max_deltaBSF,Min_deltaBSF,Mean_deltaBSF
0,0,0.06,5.41 ,3,1,0.4440 ,0.4415 ,0.4211 ,0.4164 ,0.3871 ,0.3799 ,0.3150 ,0.1744 ,0.1407 ,4,0.8293 ,0.0110 ,0.5195 ,0.8536 ,0.0411 ,0.3324 ,88.90 ,15.37 ,42.89 ,25.73 ,-2.35 ,8.16 ,0.1554 ,-0.0089 ,0.0707 
0,0,0.06,4.63 ,4,0,0.3418 ,0.3221 ,0.3039 ,0.2653 ,0.2323 ,0.1740 ,0.4330 ,0.3482 ,0.0848 ,3,0.9365 ,0.7488 ,0.8190 ,0.6575 ,0.0384 ,0.3206 ,39.44 ,18.61 ,28.91 ,54.18 ,-0.18 ,20.14 ,0.0622 ,-0.2063 ,-0.0749 
0,0,0.06,6.11 ,5,0,0.4258 ,0.4197 ,0.3952 ,0.3814 ,0.3586 ,0.3387 ,0.3542 ,0.2176 ,0.1366 ,5,0.9485 ,0.0617 ,0.4807 ,0.8614 ,0.0000 ,0.3243 ,47.23 ,16.39 ,30.78 ,9.32 ,-1.27 ,2.68 ,0.0553 ,-0.2548 ,-0.0727 
1,0,0.06,15.42 ,7,1,0.4946 ,0.4945 ,0.4932 ,0.4928 ,0.4827 ,0.4822 ,0.1087 ,0.0570 ,0.0517 ,7,0.9883 ,0.0374 ,0.6042 ,0.9277 ,0.0065 ,0.3437 ,39.78 ,8.23 ,28.01 ,21.52 ,-9.32 ,-2.75 ,0.3007 ,0.0190 ,0.1673 
0,0,0.06,3.40 ,3,0,0.4780 ,0.4755 ,0.4683 ,0.4671 ,0.4585 ,0.4404 ,0.1952 ,0.1627 ,0.0325 ,3,0.9614 ,0.0226 ,0.5629 ,0.8704 ,0.0276 ,0.3347 ,35.87 ,15.05 ,25.50 ,30.49 ,8.93 ,18.72 ,0.1782 ,0.0817 ,0.1173 
1,0,0.06,8.18 ,6,0,0.3813 ,0.3681 ,0.3590 ,0.3371 ,0.3072 ,0.2539 ,0.3764 ,0.3379 ,0.0385 ,6,0.9721 ,0.3707 ,0.6424 ,0.7093 ,0.0031 ,0.3175 ,40.68 ,13.58 ,24.47 ,4.61 ,-5.66 ,-0.77 ,0.0869 ,-0.2770 ,-0.0605 
1,0,0.06,20.14 ,3,1,0.4513 ,0.4408 ,0.4391 ,0.4220 ,0.4122 ,0.3847 ,0.2873 ,0.2136 ,0.0736 ,4,0.4285 ,0.0226 ,0.2050 ,0.9221 ,0.0350 ,0.3516 ,35.87 ,29.13 ,33.24 ,20.86 ,-16.74 ,2.52 ,0.0861 ,-0.0921 ,-0.0141 
1,0,0.06,6.27 ,6,0,0.4958 ,0.4957 ,0.4942 ,0.4937 ,0.4850 ,0.4843 ,0.0994 ,0.0535 ,0.0459 ,6,0.9490 ,0.0617 ,0.4869 ,0.9440 ,0.0159 ,0.3429 ,38.83 ,14.75 ,29.08 ,6.52 ,-1.44 ,2.25 ,0.3101 ,0.0309 ,0.2249 
1,0,0.06,12.34 ,3,1,0.3772 ,0.3680 ,0.3533 ,0.3382 ,0.3030 ,0.2492 ,0.3734 ,0.3471 ,0.0263 ,4,0.9240 ,0.4285 ,0.6886 ,0.8459 ,0.0299 ,0.3375 ,35.24 ,20.98 ,27.38 ,46.47 ,-8.93 ,16.73 ,-0.0861 ,-0.1782 ,-0.1269 
1,0,0.06,3.06 ,1,1,0.3749 ,0.3745 ,0.3064 ,0.3051 ,0.2582 ,0.2565 ,0.4324 ,0.2188 ,0.2136 ,2,0.8293 ,0.4810 ,0.6551 ,0.7781 ,0.0901 ,0.3409 ,32.88 ,28.36 ,30.62 ,8.76 ,2.35 ,5.56 ,0.0380 ,-0.1174 ,-0.0397 
